datetime (UTC),"coordinates (lat,lon)",temperature (degC),relative_humidity (0-1),wind_speed (m/s),surface_pressure (Pa),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent)
6/20/22 0:00,"(42.886717, -78.878392)",18.69,0.41,2.1,99526.78,0,0
6/20/22 1:00,"(42.886717, -78.878392)",17.29,0.45,2.03,99502.64,0,0
6/20/22 2:00,"(42.886717, -78.878392)",15.88,0.5,2.34,99545.66,0,0
6/20/22 3:00,"(42.886717, -78.878392)",14.7,0.53,2.74,99574.51,0,0
6/20/22 4:00,"(42.886717, -78.878392)",14.33,0.56,2.6,99598.12,0,0
6/20/22 5:00,"(42.886717, -78.878392)",13.42,0.61,2.4,99616.09,0,0
6/20/22 6:00,"(42.886717, -78.878392)",13.55,0.61,2.16,99642.87,0,0
6/20/22 7:00,"(42.886717, -78.878392)",14.14,0.61,1.71,99665.45,0,0
6/20/22 8:00,"(42.886717, -78.878392)",14.21,0.64,0.88,99635.73,0,0
6/20/22 9:00,"(42.886717, -78.878392)",13.61,0.69,0.71,99636.31,0,0
6/20/22 10:00,"(42.886717, -78.878392)",14.13,0.7,0.06,99721.24,0,0
6/20/22 11:00,"(42.886717, -78.878392)",14.74,0.67,1.41,99750,0,0
6/20/22 12:00,"(42.886717, -78.878392)",15.63,0.6,2.4,99749.89,0,0
6/20/22 13:00,"(42.886717, -78.878392)",16.53,0.54,2.6,99760.55,0,0
6/20/22 14:00,"(42.886717, -78.878392)",18.19,0.49,2.82,99736.69,0,0
6/20/22 15:00,"(42.886717, -78.878392)",19.59,0.43,3.25,99731.44,0,0
6/20/22 16:00,"(42.886717, -78.878392)",20.43,0.39,3.63,99749.79,0,0
6/20/22 17:00,"(42.886717, -78.878392)",21.03,0.41,4.06,99733.83,0,0
6/20/22 18:00,"(42.886717, -78.878392)",21.04,0.46,4.42,99719.12,0,0
6/20/22 19:00,"(42.886717, -78.878392)",20.64,0.53,4.45,99667.05,0,0
6/20/22 20:00,"(42.886717, -78.878392)",20.07,0.59,4.98,99626.34,0,0
6/20/22 21:00,"(42.886717, -78.878392)",19.94,0.61,4.8,99559.04,0,0
6/20/22 22:00,"(42.886717, -78.878392)",18.64,0.68,3.83,99537.02,0,0
6/20/22 23:00,"(42.886717, -78.878392)",18.49,0.67,3.16,99548.82,0,0
6/21/22 0:00,"(42.886717, -78.878392)",18.8,0.66,3.05,99493.52,0,0
6/21/22 1:00,"(42.886717, -78.878392)",18.46,0.69,2.7,99482.84,0.01,0
6/21/22 2:00,"(42.886717, -78.878392)",17.8,0.73,2.44,99538.79,0,0
6/21/22 3:00,"(42.886717, -78.878392)",17.54,0.73,3.31,99459.07,0,0
6/21/22 4:00,"(42.886717, -78.878392)",17.55,0.72,3.74,99415.53,0,0
6/21/22 5:00,"(42.886717, -78.878392)",17.75,0.71,3.86,99347.12,0.34,0
6/21/22 6:00,"(42.886717, -78.878392)",18.02,0.69,3.82,99292.44,0.3,0
6/21/22 7:00,"(42.886717, -78.878392)",17.81,0.71,3.59,99301.84,0.1,0
6/21/22 8:00,"(42.886717, -78.878392)",17.49,0.74,3.58,99283.95,0.18,0
6/21/22 9:00,"(42.886717, -78.878392)",17.49,0.77,3.58,99301.97,0.6,0
6/21/22 10:00,"(42.886717, -78.878392)",17.61,0.77,3.84,99318.43,0.73,0
6/21/22 11:00,"(42.886717, -78.878392)",17.74,0.8,3.73,99335.41,0.02,0
6/21/22 12:00,"(42.886717, -78.878392)",18.81,0.79,3.93,99303.3,0,0
6/21/22 13:00,"(42.886717, -78.878392)",20.06,0.75,4.06,99330.54,0,0
6/21/22 14:00,"(42.886717, -78.878392)",21.71,0.68,4.72,99286.12,0,0
6/21/22 15:00,"(42.886717, -78.878392)",23.4,0.64,5.17,99225.67,0,0
6/21/22 16:00,"(42.886717, -78.878392)",23.87,0.62,5.52,99158.67,0,0
6/21/22 17:00,"(42.886717, -78.878392)",25.01,0.59,5.74,99114.73,0,0
6/21/22 18:00,"(42.886717, -78.878392)",25.37,0.57,5.82,99053.21,0,0
6/21/22 19:00,"(42.886717, -78.878392)",25.57,0.56,5.89,99050.49,0,0
6/21/22 20:00,"(42.886717, -78.878392)",25.73,0.56,5.89,99024.15,0,0
6/21/22 21:00,"(42.886717, -78.878392)",25.8,0.56,5.87,99003.53,0,0
6/21/22 22:00,"(42.886717, -78.878392)",25.06,0.58,5.83,98947.98,0,0
6/21/22 23:00,"(42.886717, -78.878392)",24.65,0.58,5.54,98932.66,0,0
6/22/22 0:00,"(42.886717, -78.878392)",24,0.59,5.33,98903.57,0,0
6/22/22 1:00,"(42.886717, -78.878392)",23.56,0.61,4.88,98912.39,0,0
6/22/22 2:00,"(42.886717, -78.878392)",22.85,0.65,4.41,98902.41,0,0
6/22/22 3:00,"(42.886717, -78.878392)",22.35,0.67,4.22,98890.17,0,0
6/22/22 4:00,"(42.886717, -78.878392)",22.27,0.68,4.11,98857.09,0,0
6/22/22 5:00,"(42.886717, -78.878392)",22.01,0.7,4.1,98825.15,0,0
6/22/22 6:00,"(42.886717, -78.878392)",21.95,0.72,4.22,98781.3,0,0
6/22/22 7:00,"(42.886717, -78.878392)",21.71,0.73,4.08,98794.88,0.27,0
6/22/22 8:00,"(42.886717, -78.878392)",21.38,0.76,3.81,98730.75,0.17,0
6/22/22 9:00,"(42.886717, -78.878392)",20.68,0.78,4.18,98710.7,0,0
6/22/22 10:00,"(42.886717, -78.878392)",22.1,0.78,3.59,98687.95,0,0
6/22/22 11:00,"(42.886717, -78.878392)",22.45,0.77,3.53,98692.4,0,0
6/22/22 12:00,"(42.886717, -78.878392)",23.15,0.75,3.39,98706.55,0,0
6/22/22 13:00,"(42.886717, -78.878392)",24.15,0.71,3.26,98691.3,0,0
6/22/22 14:00,"(42.886717, -78.878392)",25.45,0.67,3.18,98683.88,0,0
6/22/22 15:00,"(42.886717, -78.878392)",26.88,0.65,3.02,98662.88,0,0
6/22/22 16:00,"(42.886717, -78.878392)",27.82,0.65,3.2,98627.9,0,0
6/22/22 17:00,"(42.886717, -78.878392)",28.65,0.64,3.85,98596.7,0,0
6/22/22 18:00,"(42.886717, -78.878392)",28.68,0.67,4.47,98579.69,0.01,0
6/22/22 19:00,"(42.886717, -78.878392)",28.36,0.69,4.67,98545.23,0.26,0
6/22/22 20:00,"(42.886717, -78.878392)",28.7,0.66,3.74,98543.82,0.02,0
6/22/22 21:00,"(42.886717, -78.878392)",28.61,0.63,3.75,98475.25,0,0
6/22/22 22:00,"(42.886717, -78.878392)",27.61,0.58,3.55,98447.86,0.01,0
6/22/22 23:00,"(42.886717, -78.878392)",26.62,0.6,2.37,98487.48,0,0
6/23/22 0:00,"(42.886717, -78.878392)",26.03,0.57,2.68,98545.34,0,0
6/23/22 1:00,"(42.886717, -78.878392)",24.75,0.58,2.92,98627.12,0,0
6/23/22 2:00,"(42.886717, -78.878392)",23.29,0.61,2.73,98704.19,0,0
6/23/22 3:00,"(42.886717, -78.878392)",21.89,0.65,1.95,98736.76,0,0
6/23/22 4:00,"(42.886717, -78.878392)",21,0.69,1.88,98741.56,0,0
6/23/22 5:00,"(42.886717, -78.878392)",19.87,0.73,2.34,98727.2,0,0
6/23/22 6:00,"(42.886717, -78.878392)",19.37,0.73,3.31,98715.95,0,0
6/23/22 7:00,"(42.886717, -78.878392)",18.49,0.75,3.1,98709.12,0,0
6/23/22 8:00,"(42.886717, -78.878392)",17.21,0.76,2.86,98691.55,0,0
6/23/22 9:00,"(42.886717, -78.878392)",16.51,0.75,2.84,98695.41,0,0
6/23/22 10:00,"(42.886717, -78.878392)",16.75,0.75,2.98,98719.78,0,0
6/23/22 11:00,"(42.886717, -78.878392)",17.41,0.72,3.19,98715.72,0,0
6/23/22 12:00,"(42.886717, -78.878392)",17.97,0.67,3.16,98760.53,0,0
6/23/22 13:00,"(42.886717, -78.878392)",18.5,0.68,2.98,98791.08,0,0
6/23/22 14:00,"(42.886717, -78.878392)",20.18,0.66,3.03,98849.91,0,0
6/23/22 15:00,"(42.886717, -78.878392)",21.46,0.65,2.69,98859.3,0,0
6/23/22 16:00,"(42.886717, -78.878392)",22.2,0.65,2.61,98871.48,0,0
6/23/22 17:00,"(42.886717, -78.878392)",23.6,0.62,2.8,98878.61,0,0
6/23/22 18:00,"(42.886717, -78.878392)",24.45,0.59,2.97,98877.12,0,0
6/23/22 19:00,"(42.886717, -78.878392)",24.73,0.59,3.18,98873.27,0.06,0
6/23/22 20:00,"(42.886717, -78.878392)",24.67,0.61,3.14,98862.67,0.02,0
6/23/22 21:00,"(42.886717, -78.878392)",24.43,0.61,2.83,98829.62,0,0
6/23/22 22:00,"(42.886717, -78.878392)",23.36,0.63,2.54,98818.73,0,0
6/23/22 23:00,"(42.886717, -78.878392)",22.95,0.65,2.73,98828.98,0,0
6/24/22 0:00,"(42.886717, -78.878392)",22.61,0.69,2.6,98869.85,0,0
6/24/22 1:00,"(42.886717, -78.878392)",21.17,0.77,2.48,98893.59,0,0
6/24/22 2:00,"(42.886717, -78.878392)",19.84,0.82,2.25,98930.34,0,0
6/24/22 3:00,"(42.886717, -78.878392)",18.94,0.85,1.66,98954.73,0,0
6/24/22 4:00,"(42.886717, -78.878392)",18.81,0.85,0.87,98971.49,0,0
6/24/22 5:00,"(42.886717, -78.878392)",18.31,0.85,0.36,98989.16,0,0
6/24/22 6:00,"(42.886717, -78.878392)",17.65,0.85,1.49,99015.2,0,0
6/24/22 7:00,"(42.886717, -78.878392)",17.39,0.84,1.38,99004.63,0,0
6/24/22 8:00,"(42.886717, -78.878392)",16.69,0.86,0.72,99002.33,0,0
6/24/22 9:00,"(42.886717, -78.878392)",15.81,0.88,0.32,99025.77,0,0
6/24/22 10:00,"(42.886717, -78.878392)",16.49,0.87,0.55,99069.78,0,0
6/24/22 11:00,"(42.886717, -78.878392)",17.23,0.85,0.69,99120.19,0,0
6/24/22 12:00,"(42.886717, -78.878392)",18.84,0.75,1.37,99209.66,0,0
6/24/22 13:00,"(42.886717, -78.878392)",19.72,0.66,1.66,99247.74,0,0
6/24/22 14:00,"(42.886717, -78.878392)",21.3,0.58,1.63,99264.78,0,0
6/24/22 15:00,"(42.886717, -78.878392)",22.75,0.52,1.79,99253.36,0,0
6/24/22 16:00,"(42.886717, -78.878392)",23.49,0.5,2.06,99253.28,0,0
6/24/22 17:00,"(42.886717, -78.878392)",24.26,0.46,2.37,99250.01,0,0
6/24/22 18:00,"(42.886717, -78.878392)",24.67,0.45,2.62,99230.23,0,0
6/24/22 19:00,"(42.886717, -78.878392)",24.7,0.43,2.89,99230.4,0,0
6/24/22 20:00,"(42.886717, -78.878392)",24.91,0.42,2.99,99192.89,0,0
6/24/22 21:00,"(42.886717, -78.878392)",25.01,0.4,3.05,99209.99,0,0
6/24/22 22:00,"(42.886717, -78.878392)",24.09,0.42,2.75,99255.75,0,0
6/24/22 23:00,"(42.886717, -78.878392)",23.64,0.43,2.67,99265.77,0,0
6/25/22 0:00,"(42.886717, -78.878392)",23.06,0.46,2.35,99285.3,0,0
6/25/22 1:00,"(42.886717, -78.878392)",21.19,0.55,2.37,99315.53,0,0
6/25/22 2:00,"(42.886717, -78.878392)",19.24,0.65,2.33,99336.41,0,0
6/25/22 3:00,"(42.886717, -78.878392)",18.24,0.7,2.19,99332.94,0,0
6/25/22 4:00,"(42.886717, -78.878392)",17.66,0.73,2.19,99342.35,0,0
6/25/22 5:00,"(42.886717, -78.878392)",16.61,0.77,2.01,99333.66,0,0
6/25/22 6:00,"(42.886717, -78.878392)",16.22,0.79,1.84,99347.62,0,0
6/25/22 7:00,"(42.886717, -78.878392)",16.04,0.79,1.87,99355.77,0,0
6/25/22 8:00,"(42.886717, -78.878392)",15.73,0.79,2,99411.02,0,0
6/25/22 9:00,"(42.886717, -78.878392)",15.71,0.76,2.13,99391.15,0,0
6/25/22 10:00,"(42.886717, -78.878392)",16.63,0.76,2.22,99426.78,0,0
6/25/22 11:00,"(42.886717, -78.878392)",17.66,0.73,2.33,99454.52,0,0
6/25/22 12:00,"(42.886717, -78.878392)",19.59,0.67,1.88,99492.29,0,0
6/25/22 13:00,"(42.886717, -78.878392)",21.69,0.6,1.83,99498.21,0,0
6/25/22 14:00,"(42.886717, -78.878392)",24.25,0.48,1.43,99472.26,0,0
6/25/22 15:00,"(42.886717, -78.878392)",25.97,0.43,0.88,99487.97,0,0
6/25/22 16:00,"(42.886717, -78.878392)",26.85,0.39,0.75,99471.22,0,0
6/25/22 17:00,"(42.886717, -78.878392)",28.02,0.37,0.68,99434.33,0,0
6/25/22 18:00,"(42.886717, -78.878392)",28.66,0.36,0.91,99403.88,0,0
6/25/22 19:00,"(42.886717, -78.878392)",29.17,0.36,0.72,99360.69,0,0
6/25/22 20:00,"(42.886717, -78.878392)",29.39,0.37,0.2,99251.16,0,0
6/25/22 21:00,"(42.886717, -78.878392)",29.76,0.34,1.13,99230.55,0,0
6/25/22 22:00,"(42.886717, -78.878392)",28.75,0.4,0.58,99208.77,0,0
6/25/22 23:00,"(42.886717, -78.878392)",28.35,0.43,0.77,99168.44,0,0
6/26/22 0:00,"(42.886717, -78.878392)",27.5,0.46,1.52,99188.38,0,0
6/26/22 1:00,"(42.886717, -78.878392)",25.57,0.53,1.97,99159.26,0,0
6/26/22 2:00,"(42.886717, -78.878392)",23.66,0.61,2.11,99171.76,0,0
6/26/22 3:00,"(42.886717, -78.878392)",23.13,0.63,3.11,99166.66,0,0
6/26/22 4:00,"(42.886717, -78.878392)",23.33,0.63,4.11,99140.55,0,0
6/26/22 5:00,"(42.886717, -78.878392)",22.7,0.64,4.67,99125.88,0,0
6/26/22 6:00,"(42.886717, -78.878392)",22.41,0.63,5,99108.2,0,0
6/26/22 7:00,"(42.886717, -78.878392)",22.15,0.64,5.16,99047.09,0,0
6/26/22 8:00,"(42.886717, -78.878392)",21.73,0.66,4.88,99033.45,0,0
6/26/22 9:00,"(42.886717, -78.878392)",21.35,0.68,4.51,99025.51,0,0
6/26/22 10:00,"(42.886717, -78.878392)",21.69,0.75,4.2,99040.63,0,0
6/26/22 11:00,"(42.886717, -78.878392)",22.4,0.74,4.47,99026.01,0,0
6/26/22 12:00,"(42.886717, -78.878392)",23.66,0.7,4.15,98978.26,0,0
6/26/22 13:00,"(42.886717, -78.878392)",24.51,0.68,4.42,98969.55,0,0
6/26/22 14:00,"(42.886717, -78.878392)",25.11,0.65,5.02,98968.12,0,0
6/26/22 15:00,"(42.886717, -78.878392)",25.59,0.63,4.76,98931.74,0,0
6/26/22 16:00,"(42.886717, -78.878392)",25.3,0.65,4.74,98935.72,0.17,0
6/26/22 17:00,"(42.886717, -78.878392)",24.71,0.71,4.95,98915.42,0.66,0
6/26/22 18:00,"(42.886717, -78.878392)",24.51,0.72,4.68,98862.94,0.42,0
6/26/22 19:00,"(42.886717, -78.878392)",24.65,0.7,4.48,98813.61,0.29,0
6/26/22 20:00,"(42.886717, -78.878392)",24.92,0.7,4.52,98762.71,0.16,0
6/26/22 21:00,"(42.886717, -78.878392)",25.53,0.67,5.65,98762.63,0,0
6/26/22 22:00,"(42.886717, -78.878392)",24.38,0.74,3.83,98629.05,0,0
6/26/22 23:00,"(42.886717, -78.878392)",24.17,0.75,4.04,98672.27,0,0
6/27/22 0:00,"(42.886717, -78.878392)",23.48,0.78,4.29,98652.34,0.05,0
6/27/22 1:00,"(42.886717, -78.878392)",22.97,0.8,4.69,98686.95,0.05,0
6/27/22 2:00,"(42.886717, -78.878392)",22.16,0.83,4.89,98710.91,0.18,0
6/27/22 3:00,"(42.886717, -78.878392)",21.51,0.86,5.31,98709.73,0.38,0
6/27/22 4:00,"(42.886717, -78.878392)",21,0.88,5.3,98701.89,0.34,0
6/27/22 5:00,"(42.886717, -78.878392)",20.21,0.91,4.9,98688.7,0.31,0
6/27/22 6:00,"(42.886717, -78.878392)",19.98,0.94,4.69,98768.38,0.45,0
6/27/22 7:00,"(42.886717, -78.878392)",19.41,0.91,4.4,98820.91,0.02,0
6/27/22 8:00,"(42.886717, -78.878392)",18.18,0.84,3.19,98870.15,0,0
6/27/22 9:00,"(42.886717, -78.878392)",17.32,0.8,2.69,98915.38,0,0
6/27/22 10:00,"(42.886717, -78.878392)",17.09,0.81,2.84,98976.48,0,0
6/27/22 11:00,"(42.886717, -78.878392)",17.69,0.78,3.38,99069.54,0,0
6/27/22 12:00,"(42.886717, -78.878392)",18.61,0.68,3.88,99084.95,0,0
6/27/22 13:00,"(42.886717, -78.878392)",19.11,0.64,3.89,99158.6,0,0
6/27/22 14:00,"(42.886717, -78.878392)",19.87,0.6,4.26,99186.88,0,0
6/27/22 15:00,"(42.886717, -78.878392)",20.35,0.57,5.16,99196.77,0,0
6/27/22 16:00,"(42.886717, -78.878392)",20.3,0.55,5.96,99243.37,0,0
6/27/22 17:00,"(42.886717, -78.878392)",20.57,0.53,6.02,99252.34,0,0
6/27/22 18:00,"(42.886717, -78.878392)",20.59,0.52,5.95,99252.48,0,0
6/27/22 19:00,"(42.886717, -78.878392)",20.47,0.52,5.93,99241.56,0.01,0
6/27/22 20:00,"(42.886717, -78.878392)",20.6,0.5,5.99,99233.79,0.02,0
6/27/22 21:00,"(42.886717, -78.878392)",20.37,0.51,6.21,99252.73,0.01,0
6/27/22 22:00,"(42.886717, -78.878392)",19.31,0.54,5.21,99303.8,0.01,0
6/27/22 23:00,"(42.886717, -78.878392)",18.99,0.54,5.03,99325.52,0,0
6/28/22 0:00,"(42.886717, -78.878392)",18.72,0.54,4.07,99376.23,0,0
6/28/22 1:00,"(42.886717, -78.878392)",17.73,0.59,3.2,99418.13,0,0
6/28/22 2:00,"(42.886717, -78.878392)",16.75,0.65,2.41,99481.75,0,0
6/28/22 3:00,"(42.886717, -78.878392)",15.68,0.7,2.2,99517.48,0,0
6/28/22 4:00,"(42.886717, -78.878392)",15.77,0.68,2.7,99532.74,0,0
6/28/22 5:00,"(42.886717, -78.878392)",14.63,0.71,3.15,99570.31,0,0
6/28/22 6:00,"(42.886717, -78.878392)",14.24,0.71,3.31,99578.38,0,0
6/28/22 7:00,"(42.886717, -78.878392)",13.71,0.73,3.5,99600.24,0,0
6/28/22 8:00,"(42.886717, -78.878392)",13.02,0.76,3.77,99629.04,0,0
6/28/22 9:00,"(42.886717, -78.878392)",12.43,0.78,3.73,99652.09,0,0
6/28/22 10:00,"(42.886717, -78.878392)",12.78,0.79,2.86,99710.95,0,0
6/28/22 11:00,"(42.886717, -78.878392)",13.48,0.76,2.41,99730.95,0,0
6/28/22 12:00,"(42.886717, -78.878392)",14.61,0.69,2.3,99770.54,0,0
6/28/22 13:00,"(42.886717, -78.878392)",15.45,0.66,2.2,99800.56,0,0
6/28/22 14:00,"(42.886717, -78.878392)",16.62,0.62,2.32,99819.04,0,0
6/28/22 15:00,"(42.886717, -78.878392)",18.01,0.57,2.27,99833.82,0,0
6/28/22 16:00,"(42.886717, -78.878392)",18.73,0.54,2.51,99840.02,0,0
6/28/22 17:00,"(42.886717, -78.878392)",19.16,0.53,3.21,99865.19,0,0
6/28/22 18:00,"(42.886717, -78.878392)",19.52,0.53,3.56,99834.05,0,0
6/28/22 19:00,"(42.886717, -78.878392)",19.95,0.51,3.46,99808.69,0,0
6/28/22 20:00,"(42.886717, -78.878392)",20.09,0.52,3.47,99775.2,0,0
6/28/22 21:00,"(42.886717, -78.878392)",20.36,0.5,3.41,99720.73,0,0
6/28/22 22:00,"(42.886717, -78.878392)",20.32,0.52,2.96,99696.12,0,0
6/28/22 23:00,"(42.886717, -78.878392)",19.88,0.52,2.78,99629.38,0,0
6/29/22 0:00,"(42.886717, -78.878392)",19.45,0.52,2.46,99655.94,0,0
6/29/22 1:00,"(42.886717, -78.878392)",17.58,0.63,2.2,99681.65,0,0
6/29/22 2:00,"(42.886717, -78.878392)",16.35,0.7,2.33,99724.18,0,0
6/29/22 3:00,"(42.886717, -78.878392)",15.37,0.74,2.58,99697.96,0,0
6/29/22 4:00,"(42.886717, -78.878392)",15,0.76,3.19,99677.08,0,0
6/29/22 5:00,"(42.886717, -78.878392)",14.54,0.78,3.45,99656.87,0,0
6/29/22 6:00,"(42.886717, -78.878392)",14.39,0.78,3.52,99636.03,0,0
6/29/22 7:00,"(42.886717, -78.878392)",14.04,0.79,3.47,99608.63,0,0
6/29/22 8:00,"(42.886717, -78.878392)",13.87,0.8,3.55,99616.21,0,0
6/29/22 9:00,"(42.886717, -78.878392)",13.76,0.79,3.74,99580.66,0,0
6/29/22 10:00,"(42.886717, -78.878392)",14.26,0.78,3.38,99609.68,0,0
6/29/22 11:00,"(42.886717, -78.878392)",15.45,0.75,3.59,99631.41,0,0
6/29/22 12:00,"(42.886717, -78.878392)",17.04,0.7,2.66,99638.72,0,0
6/29/22 13:00,"(42.886717, -78.878392)",18.25,0.66,2.26,99676.77,0,0
6/29/22 14:00,"(42.886717, -78.878392)",19.83,0.62,2.63,99695.72,0,0
6/29/22 15:00,"(42.886717, -78.878392)",21.01,0.59,2.56,99720.93,0.15,0
6/29/22 16:00,"(42.886717, -78.878392)",20.83,0.63,3.22,99770.98,0.26,0
6/29/22 17:00,"(42.886717, -78.878392)",20.57,0.66,2.82,99763.64,0.6,0
6/29/22 18:00,"(42.886717, -78.878392)",20.13,0.71,3.31,99764.83,0.91,0
6/29/22 19:00,"(42.886717, -78.878392)",20.31,0.69,3.66,99733.18,0.01,0
6/29/22 20:00,"(42.886717, -78.878392)",21.35,0.63,4.38,99698.03,0,0
6/29/22 21:00,"(42.886717, -78.878392)",22.14,0.6,4.25,99660.37,0,0
6/29/22 22:00,"(42.886717, -78.878392)",22.37,0.6,3.43,99656.1,0,0
6/29/22 23:00,"(42.886717, -78.878392)",22.51,0.6,3.71,99653.06,0.03,0
6/30/22 0:00,"(42.886717, -78.878392)",21.48,0.65,3.21,99690.07,0.06,0
6/30/22 1:00,"(42.886717, -78.878392)",20.36,0.73,2.55,99735.55,0,0
6/30/22 2:00,"(42.886717, -78.878392)",19.93,0.77,1.78,99767.88,0,0
6/30/22 3:00,"(42.886717, -78.878392)",18.5,0.82,1.39,99769.34,0,0
6/30/22 4:00,"(42.886717, -78.878392)",17.79,0.85,1.44,99770.13,0,0
6/30/22 5:00,"(42.886717, -78.878392)",16.18,0.9,1.34,99775.91,0,0
6/30/22 6:00,"(42.886717, -78.878392)",15.36,0.92,1.33,99758.67,0,0
6/30/22 7:00,"(42.886717, -78.878392)",15.07,0.93,1.71,99764.59,0,0
6/30/22 8:00,"(42.886717, -78.878392)",14.77,0.92,1.16,99783.11,0,0
6/30/22 9:00,"(42.886717, -78.878392)",14.55,0.92,0.85,99734.68,0,0
6/30/22 10:00,"(42.886717, -78.878392)",15.63,0.9,1.87,99789.98,0,0
6/30/22 11:00,"(42.886717, -78.878392)",16.37,0.88,2.79,99754.32,0,0
6/30/22 12:00,"(42.886717, -78.878392)",18.09,0.81,2.34,99769.74,0,0
6/30/22 13:00,"(42.886717, -78.878392)",20.03,0.72,2.18,99776.43,0,0
6/30/22 14:00,"(42.886717, -78.878392)",22.51,0.62,2.1,99728.81,0,0
6/30/22 15:00,"(42.886717, -78.878392)",24.68,0.54,1.85,99642.6,0,0
6/30/22 16:00,"(42.886717, -78.878392)",25.9,0.51,2.3,99569.8,0,0
6/30/22 17:00,"(42.886717, -78.878392)",26.82,0.49,3.57,99520.66,0,0
6/30/22 18:00,"(42.886717, -78.878392)",26.93,0.5,4.54,99438.19,0,0
6/30/22 19:00,"(42.886717, -78.878392)",27.08,0.5,5.06,99403.35,0,0
6/30/22 20:00,"(42.886717, -78.878392)",27.44,0.49,4.96,99327.92,0,0
6/30/22 21:00,"(42.886717, -78.878392)",27.5,0.49,4.37,99284.71,0,0
6/30/22 22:00,"(42.886717, -78.878392)",27.04,0.53,3.66,99232.68,0,0
6/30/22 23:00,"(42.886717, -78.878392)",26.51,0.54,2.94,99229.56,0,0
7/1/22 0:00,"(42.886717, -78.878392)",25.72,0.58,2.64,99210.02,0,0
7/1/22 1:00,"(42.886717, -78.878392)",23.92,0.67,2.85,99189.49,0,0
7/1/22 2:00,"(42.886717, -78.878392)",22.9,0.71,3.34,99189.23,0,0
7/1/22 3:00,"(42.886717, -78.878392)",21.96,0.76,3.72,99163.48,0,0
7/1/22 4:00,"(42.886717, -78.878392)",21.61,0.75,4.4,99106.8,0,0
7/1/22 5:00,"(42.886717, -78.878392)",21.83,0.7,5.23,99085.2,0,0
7/1/22 6:00,"(42.886717, -78.878392)",22.45,0.62,5.8,99019.01,0,0
7/1/22 7:00,"(42.886717, -78.878392)",22.52,0.57,5.62,98984.31,0,0
7/1/22 8:00,"(42.886717, -78.878392)",22.4,0.57,5.67,98948.38,0,0
7/1/22 9:00,"(42.886717, -78.878392)",21.95,0.6,5.94,98930.68,0,0
7/1/22 10:00,"(42.886717, -78.878392)",22.18,0.63,6.03,98916.93,0,0
7/1/22 11:00,"(42.886717, -78.878392)",22.5,0.65,5.53,98904.62,0,0
7/1/22 12:00,"(42.886717, -78.878392)",23.27,0.63,4.95,98911.25,0,0
7/1/22 13:00,"(42.886717, -78.878392)",24.53,0.6,5.08,98901.09,0,0
7/1/22 14:00,"(42.886717, -78.878392)",25.55,0.57,5.44,98874.69,0,0
7/1/22 15:00,"(42.886717, -78.878392)",26.24,0.56,5.69,98893.7,0,0
7/1/22 16:00,"(42.886717, -78.878392)",25.92,0.59,5.96,98865.37,0,0
7/1/22 17:00,"(42.886717, -78.878392)",26.21,0.58,6.48,98810.91,0,0
7/1/22 18:00,"(42.886717, -78.878392)",26.11,0.57,6.64,98767.04,0,0
7/1/22 19:00,"(42.886717, -78.878392)",25.75,0.57,6.56,98771.34,0.02,0
7/1/22 20:00,"(42.886717, -78.878392)",24.99,0.62,5.91,98719.87,0.02,0
7/1/22 21:00,"(42.886717, -78.878392)",24.69,0.62,5.71,98674.78,0.02,0
7/1/22 22:00,"(42.886717, -78.878392)",24.16,0.64,4.72,98631.7,0,0
7/1/22 23:00,"(42.886717, -78.878392)",24.44,0.63,5.66,98624.98,0,0
7/2/22 0:00,"(42.886717, -78.878392)",24.22,0.64,7.14,98655.09,0,0
7/2/22 1:00,"(42.886717, -78.878392)",23.94,0.65,7.25,98702.61,0,0
7/2/22 2:00,"(42.886717, -78.878392)",23.16,0.7,6.35,98719.91,0.34,0
7/2/22 3:00,"(42.886717, -78.878392)",21.54,0.82,5.72,98687,0.94,0
7/2/22 4:00,"(42.886717, -78.878392)",20.78,0.9,5.4,98666.94,1.81,0
7/2/22 5:00,"(42.886717, -78.878392)",20.25,0.94,5.17,98654.38,2.92,0
7/2/22 6:00,"(42.886717, -78.878392)",19.97,0.95,4.33,98683.07,2.67,0
7/2/22 7:00,"(42.886717, -78.878392)",19.65,0.92,3.77,98675.38,2.14,0
7/2/22 8:00,"(42.886717, -78.878392)",18.95,0.92,2.46,98730.95,1.47,0
7/2/22 9:00,"(42.886717, -78.878392)",18.32,0.94,1.23,98757.62,0.29,0
7/2/22 10:00,"(42.886717, -78.878392)",18.03,0.95,0.74,98785.12,0.06,0
7/2/22 11:00,"(42.886717, -78.878392)",18.68,0.94,0.82,98857.02,0,0
7/2/22 12:00,"(42.886717, -78.878392)",19.92,0.84,0.67,98864.9,0,0
7/2/22 13:00,"(42.886717, -78.878392)",21.02,0.73,1.08,98909.41,0,0
7/2/22 14:00,"(42.886717, -78.878392)",21.89,0.63,1.33,98923.09,0,0
7/2/22 15:00,"(42.886717, -78.878392)",23.34,0.55,1.77,98930.99,0,0
7/2/22 16:00,"(42.886717, -78.878392)",24.04,0.5,2.72,98953.59,0,0
7/2/22 17:00,"(42.886717, -78.878392)",24.65,0.44,3.36,98951.82,0,0
7/2/22 18:00,"(42.886717, -78.878392)",24.97,0.42,4,98950.38,0,0
